2024-03-12 18:23:17.4665|0|INFO|StepMaster.Program|Process start |url: |action: 
2024-03-12 18:23:18.2016|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5016 |url: |action: 
2024-03-12 18:23:18.2016|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-03-12 18:23:18.2016|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-03-12 18:23:18.2016|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\StepMaster\StepMaster |url: |action: 
2024-03-12 18:23:18.7043|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/swagger/index.html|action: 
2024-03-12 18:23:18.7043|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/swagger/index.html|action: 
2024-03-12 18:23:18.7400|0|DEBUG|Infrastructure.MongoDb.Repositories.Day_Repository|NLog is integrate to Day_Controler  |url: http://localhost/swagger/index.html|action: 
2024-03-12 18:23:25.2015|0|DEBUG|Infrastructure.MongoDb.Repositories.Day_Repository|NLog is integrate to Day_Controler  |url: http://localhost/api/Authorization/Auth|action: Auth
2024-03-12 18:23:28.8114|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/api/Authorization/Auth|action: Auth
2024-03-12 18:23:29.4901|0|ERROR|Infrastructure.MongoDb.Repositories.User_Repository|One or more errors occurred. (An exception occurred while opening a connection to the server.) |url: http://localhost/api/Authorization/Auth|action: Auth
2024-03-12 18:23:46.0192|0|INFO|StepMaster.Program|Process start |url: |action: 
2024-03-12 18:23:46.6626|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5016 |url: |action: 
2024-03-12 18:23:46.6702|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-03-12 18:23:46.6702|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-03-12 18:23:46.6702|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\StepMaster\StepMaster |url: |action: 
2024-03-12 18:23:47.2361|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/swagger/index.html|action: 
2024-03-12 18:23:47.2468|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/swagger/index.html|action: 
2024-03-12 18:23:47.2829|0|DEBUG|Infrastructure.MongoDb.Repositories.Day_Repository|NLog is integrate to Day_Controler  |url: http://localhost/swagger/index.html|action: 
2024-03-12 18:24:00.5457|0|DEBUG|Infrastructure.MongoDb.Repositories.Day_Repository|NLog is integrate to Day_Controler  |url: http://localhost/api/Authorization/Auth|action: Auth
2024-03-12 18:24:03.0043|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/api/Authorization/Auth|action: Auth
2024-03-12 18:24:13.9345|0|ERROR|Infrastructure.MongoDb.Repositories.User_Repository|One or more errors occurred. (An exception occurred while opening a connection to the server.) |url: http://localhost/api/Authorization/Auth|action: Auth
2024-03-12 18:24:17.1691|0|DEBUG|Infrastructure.MongoDb.Repositories.Day_Repository|NLog is integrate to Day_Controler  |url: http://localhost/api/Authorization/Auth|action: Auth
2024-03-12 18:24:19.1556|0|ERROR|Infrastructure.MongoDb.Repositories.User_Repository|One or more errors occurred. (An exception occurred while opening a connection to the server.) |url: http://localhost/api/Authorization/Auth|action: Auth
2024-03-12 18:24:30.7195|0|INFO|StepMaster.Program|Process start |url: |action: 
2024-03-12 18:24:31.3529|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5016 |url: |action: 
2024-03-12 18:24:31.3585|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-03-12 18:24:31.3585|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-03-12 18:24:31.3585|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\StepMaster\StepMaster |url: |action: 
2024-03-12 18:24:35.3401|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/swagger/index.html|action: 
2024-03-12 18:24:35.3401|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/swagger/index.html|action: 
2024-03-12 18:24:35.3778|0|DEBUG|Infrastructure.MongoDb.Repositories.Day_Repository|NLog is integrate to Day_Controler  |url: http://localhost/swagger/index.html|action: 
2024-03-12 18:24:38.6243|0|DEBUG|Infrastructure.MongoDb.Repositories.Day_Repository|NLog is integrate to Day_Controler  |url: http://localhost/api/Authorization/Auth|action: Auth
2024-03-12 18:24:38.6243|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/api/Authorization/Auth|action: Auth
2024-03-12 18:24:39.3091|0|ERROR|Infrastructure.MongoDb.Repositories.User_Repository|One or more errors occurred. (An exception occurred while opening a connection to the server.) |url: http://localhost/api/Authorization/Auth|action: Auth
2024-03-12 18:25:40.8576|0|INFO|StepMaster.Program|Process start |url: |action: 
2024-03-12 18:25:41.6405|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5016 |url: |action: 
2024-03-12 18:25:41.6558|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-03-12 18:25:41.6558|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-03-12 18:25:41.6558|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\StepMaster\StepMaster |url: |action: 
2024-03-12 18:25:45.5178|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/swagger/index.html|action: 
2024-03-12 18:25:45.5178|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/swagger/index.html|action: 
2024-03-12 18:25:45.5559|0|DEBUG|Infrastructure.MongoDb.Repositories.Day_Repository|NLog is integrate to Day_Controler  |url: http://localhost/swagger/index.html|action: 
2024-03-12 18:26:03.7210|0|DEBUG|Infrastructure.MongoDb.Repositories.Day_Repository|NLog is integrate to Day_Controler  |url: http://localhost/api/Authorization/Auth|action: Auth
2024-03-12 18:26:23.1584|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/api/Authorization/Auth|action: Auth
2024-03-12 18:26:23.8385|0|ERROR|Infrastructure.MongoDb.Repositories.User_Repository|One or more errors occurred. (An exception occurred while opening a connection to the server.) |url: http://localhost/api/Authorization/Auth|action: Auth
2024-03-12 18:27:36.8425|0|INFO|StepMaster.Program|Process start |url: |action: 
2024-03-12 18:27:37.6592|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5016 |url: |action: 
2024-03-12 18:27:37.6592|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-03-12 18:27:37.6687|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-03-12 18:27:37.6687|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\StepMaster\StepMaster |url: |action: 
2024-03-12 18:27:41.2951|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/swagger/index.html|action: 
2024-03-12 18:27:41.2951|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/swagger/index.html|action: 
2024-03-12 18:27:41.3319|0|DEBUG|Infrastructure.MongoDb.Repositories.Day_Repository|NLog is integrate to Day_Controler  |url: http://localhost/swagger/index.html|action: 
2024-03-12 18:27:49.3305|0|DEBUG|Infrastructure.MongoDb.Repositories.Day_Repository|NLog is integrate to Day_Controler  |url: http://localhost/api/Authorization/Auth|action: Auth
2024-03-12 18:27:57.1266|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/api/Authorization/Auth|action: Auth
2024-03-12 18:28:44.6752|0|INFO|StepMaster.Program|Process start |url: |action: 
2024-03-12 18:28:45.3708|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5016 |url: |action: 
2024-03-12 18:28:45.3708|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-03-12 18:28:45.3708|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
