2024-01-09 10:15:33.3749|0|ERROR|StepMaster.Program|init main |url: |action: 
2024-01-09 10:15:34.5756|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5016 |url: |action: 
2024-01-09 10:15:34.5756|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-01-09 10:15:34.5756|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-01-09 10:15:34.5756|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\StepMaster\StepMaster |url: |action: 
2024-01-09 10:30:25.6710|0|ERROR|StepMaster.Program|init main |url: |action: 
2024-01-09 10:30:26.4552|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5016 |url: |action: 
2024-01-09 10:30:26.4693|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-01-09 10:30:26.4693|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-01-09 10:30:26.4693|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\StepMaster\StepMaster |url: |action: 
2024-01-09 10:30:44.2300|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/api/Authorization/Auth|action: Auth
2024-01-09 10:30:44.4400|8|DEBUG|API.Auth.AuthBase.BasicAunteficationHandler|AuthenticationScheme: Basic was successfully authenticated. |url: http://localhost/api/Authorization/Auth|action: Auth
2024-01-09 10:30:52.7888|0|ERROR|StepMaster.Program|init main |url: |action: 
2024-01-09 10:30:53.5003|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5016 |url: |action: 
2024-01-09 10:30:53.5137|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-01-09 10:30:53.5137|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-01-09 10:30:53.5137|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\StepMaster\StepMaster |url: |action: 
2024-01-09 10:30:59.1988|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/api/Title/GetTitles|action: GetTitles
2024-01-09 10:31:09.3327|0|ERROR|StepMaster.Program|init main |url: |action: 
2024-01-09 10:31:10.1072|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5016 |url: |action: 
2024-01-09 10:31:10.1072|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-01-09 10:31:10.1072|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-01-09 10:31:10.1072|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\StepMaster\StepMaster |url: |action: 
2024-01-09 10:31:13.1994|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/api/Title/GetTitles|action: GetTitles
2024-01-09 11:00:00.1716|0|ERROR|StepMaster.Program|init main |url: |action: 
2024-01-09 11:00:00.8921|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5016 |url: |action: 
